,company,rating,city,lat_lng,latitude,longitude
0,S-PRO,99.8,"Frankfurt, ","EIOPA, 1, Westhafenplatz, Gutleutviertel, Innenstadt 1, Frankfurt am Main, Hessen, 60327, Deutschland",50.1013293,8.6644511
1,NIX,100.0,"Berlin, ","coffee...nix verstehen, Oranienstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland",52.5043445,13.4091925
2,SAP,100.0,"Walldorf, ","SAP SE, 7, Hasso-Plattner-Ring, Aussiedlerhöfe Leimengrube, Walldorf, Rhein-Neckar-Kreis, Baden-Württemberg, 69190, Deutschland",49.29395475,8.640571372526976
3,USU,0.0,"Moglingen, ","USU Campus, 32, Wagnerstraße, Möglingen, Landkreis Ludwigsburg, Baden-Württemberg, 71696, Deutschland",48.88505855,9.12561603142018
4,Cell it!,0.0,"Hamburg, ","Ham Petroleum, Go Down Road, River Oli, Arua, Northern Region, 481, Uganda",3.0324498,30.9132406
5,T-Systems International GmbH,0.0,"Hamburg, ","Deutsche Telekom AG, 26, Binderstraße, Rotherbaum, Eimsbüttel, Hamburg, 20146, Deutschland",53.56806975,9.985292922073386
6,NTT DATA,0.0,"Munich, ","NTT DATA, 26, Hans-Döllgast-Straße, Bezirksteil Neufreimann, Schwabing-Freimann, München, Bayern, 80807, Deutschland",48.1841234,11.5877796
7,SAS,0.0,"Nurnberg, ","Nürnberg, Bayern, Deutschland",49.453872,11.077298
8,Nagarro,0.0,"Munich, ","Nagarro IT, 15, Baierbrunner Straße, Bezirksteil Obersendling, Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln, München, Bayern, 81379, Deutschland",48.0986707,11.5337706
9,X1 Group,0.0,"Stuttgart, ","Westhouse Group, 10, Marktplatz, Rathaus, Stuttgart-Mitte, Stuttgart, Baden-Württemberg, 70173, Deutschland",48.7756887,9.1782105
10,Software AG,0.0,"Frankfurt, ","101010 Software, 98, Gutleutstraße, Gutleutviertel, Innenstadt 1, Frankfurt am Main, Hessen, 60329, Deutschland",50.1038499,8.6633935
