,Company,Venue_Name,Category,Latitude,Longitude,Address,Distance
0,S-PRO,Hunky Dory,Cocktail Bar,50.103891712844565,8.665367323347024,"Baseler Straße 10, 60329 Frankfurt am Main",292
1,S-PRO,Mr. Lee,Korean Restaurant,50.102041725035974,8.66038392899925,"Gutleutstr. 153, 60327 Frankfurt am Main",301
2,S-PRO,Atlantik Fisch,Seafood Restaurant,50.10249368519658,8.6614746624474,60327 Frankfurt am Main,248
3,S-PRO,Villa Kennedy,Hotel,50.09736040302291,8.669209385229689,"Kennedyallee 70 (Stresemannallee), 60596 Frankfurt am Main",557
4,S-PRO,L'Osteria,Trattoria/Osteria,50.101269729761626,8.66363704057337,"Speicherstraße 1, 60327 Frankfurt am Main",58
5,S-PRO,Hotel Europa Style,Hotel,50.10437373695801,8.66450954471947,"Baseler Straße 19, Frankfurt am Main",338
6,S-PRO,Roomers,Hotel,50.104598835092546,8.666686713695526,"Gutleutstr. 85, 60329 Frankfurt am Main",397
7,S-PRO,Liebieghaus Cafe,Café,50.10183336087025,8.671730358023364,Frankfurt am Main,522
8,S-PRO,Dorade am Main,Seafood Restaurant,50.09720882935048,8.66412272241204,"Dorade am Main Carl-von-Noorden Platz 5, 60596 Frankfurt am Main",459
9,S-PRO,Roomers Bar,Hotel Bar,50.104598645880685,8.666920387731807,"Gutleutstr. 85 (Wiesenhüttenstr.), 60329 Frankfurt am Main",404
10,S-PRO,Cron am Hafen,Italian Restaurant,50.099457160801684,8.659221101193523,"Speicherstr. 39-45, 60327 Frankfurt am Main",427
11,S-PRO,Liebieghaus,Art Museum,50.101799177203205,8.671614755046937,"Schaumainkai 71, 60596 Frankfurt am Main",514
12,S-PRO,Frankfurter Botschaft,Restaurant,50.10102384178134,8.664178848266602,"Westhafenplatz 6, 60327 Frankfurt am Main",39
13,S-PRO,Städel Museum,Art Museum,50.10337094150389,8.673733953846599,"Schaumainkai 63, 60596 Frankfurt am Main",700
14,S-PRO,Intercity Hotel Frankfurt Hauptbahnhof Süd,Hotel,50.104717,8.662657,"Mannheimer Str. 21, 60329 Frankfurt am Main",398
15,S-PRO,African Queen,African Restaurant,50.10312964491842,8.663036227226257,"Stuttgarter Str. 21 (Gutleutstr.), 60329 Frankfurt am Main",224
16,S-PRO,ClubLounge@InterContinental,Lounge,50.104266748597716,8.668980816362113,Frankfurt am Main,459
17,S-PRO,Der Fette Bulle,Burger Joint,50.107692,8.666418,"Kaiserstraße 73, 60311 Frankfurt am Main",722
18,S-PRO,City Kiosk Yok-Yok,Convenience Store,50.10755331918962,8.668509708635826,"Münchenerstr. 32, 60329 Frankfurt am Main",751
19,S-PRO,Saravanaa Bhavan,Indian Restaurant,50.10815979993023,8.666834235191345,"Kaiserstr 66, 60329 Frankfurt am Main",779
20,S-PRO,Parthenon Greek Restaurant,Greek Restaurant,50.10103682814363,8.674486005718778,"Stresemannallee (Gartenstr.), Frankfurt am Main",717
21,S-PRO,Rudergesellschaft Germania 1869,Athletics & Sports,50.10277153318719,8.672758992470607,"Schaumainkai 65, 60596 Frankfurt am Main",614
22,S-PRO,Plank,Bar,50.107657,8.668648,"Münchener Str. 30 (Elbestr.), 60329 Frankfurt am Main",765
23,S-PRO,Holbein's Café-Restaurant,French Restaurant,50.10292335197727,8.673752118910233,"Holbeinstr. 1, 60596 Frankfurt am Main",687
24,S-PRO,Museumsufer,Park,50.10432702110405,8.674328327178955,"Schaumainkai, 60594 Frankfurt am Main",780
25,S-PRO,JFK Bar,Hotel Bar,50.09730698131774,8.669232136647146,"Kennedyallee 70 (Stresemannallee), 60596 Frankfurt am Main",563
